TEAM,QB,RB,WR,TE,K,DEF,DL,LB,DB,PR,KR
NYJ,1,17,5,10,7,9,16,8,4,24,30
MIN,2,10,1,19,18,16,17,20,20,28,2
TEN,3,9,4,13,12,5,30,19,15,21,8
BAL,4,2,14,15,13,18,19,28,1,30,4
PHI,5,16,12,16,15,8,9,25,9,27,23
CHI,6,6,11,12,10,27,4,14,17,15,3
JAX,7,3,9,18,2,22,22,27,10,32,25
SF,8,5,2,27,24,4,20,16,18,17,1
LAC,9,15,16,14,19,30,11,10,26,29,15
HOU,10,13,19,5,20,23,29,17,22,20,27
CAR,11,12,3,6,11,3,5,9,30,14,28
NYG,12,32,7,20,16,10,6,5,6,31,31
WAS,13,26,25,7,23,31,14,15,28,6,12
DAL,14,20,21,8,4,2,3,18,14,1,22
ATL,15,28,18,3,8,1,18,21,16,9,26
KC,16,31,23,4,28,17,12,11,32,10,10
ARI,17,8,17,30,3,14,25,1,13,19,19
CLE,18,1,28,1,5,25,8,23,23,4,11
NE,19,23,6,2,25,15,10,29,31,3,32
TB,20,27,10,25,31,7,1,7,8,7,20
PIT,21,7,29,9,1,29,27,32,19,22,14
LAR,22,29,8,22,26,21,26,31,3,23,5
DEN,23,11,27,11,22,6,31,13,29,13,18
SEA,24,22,15,32,14,19,15,2,2,18,6
MIA,25,21,22,17,27,32,28,30,5,25,13
IND,26,25,13,26,32,12,2,4,27,11,21
GB,27,24,20,31,21,24,23,12,11,26,16
CIN,28,4,24,23,6,26,32,24,24,5,7
BUF,29,19,26,24,29,28,13,26,25,16,29
NO,30,14,32,28,17,11,21,3,7,8,24
LVR,31,30,31,21,30,20,7,22,21,2,17
DET,32,18,30,29,9,13,24,6,12,12,9
